locale,NODE_KEY,DESCRIPTION
de,74867AD200E41EDBA5D8B06B26ECA052,"Optimale Hi-Resolution max. 1920 x 1080 bei 85 Hz, Punktabstand: 0,27 mm"
de,74867AD200E41EDBA5D8B06B26ECC052,"Optimale Hi-Resolution max. 1920 x 1200 bei 85 Hz, Punktabstand: 0,26 mm"
de,74867AD200E41EDBA5D8B06B26ECE052,"Optimale Hi-Resolution max. 2560 x 1440 bei 85 Hz, Punktabstand: 0,25 mm"
de,74867AD200E41EDBA5D8B06B26ED0052,"Optimale Hi-Resolution max. 1600 x 1200 bei 85 Hz, Punktabstand: 0,24 mm"
de,74867AD200E41EDBA5D8B06B26ED2052,"Optimale Hi-Resolution max. 2048 x 1080 bei 85 Hz, Punktabstand: 0,26 mm"
de,74867AD200E41EDBA5D8B06B26ED4052,"Optimale Hi-Resolution max. 2016 x 1512 bei 85 Hz, Punktabstand: 0,24 mm"
de,74867AD200E41EDBA5D8B06B26ED6052,"Drucken Sie Farbdokumente in Bildqualitt mit 2400 dpi mit einer Geschwindigkeit von bis zu 32 Seiten pro Minute (Farbe) oder 36 Seiten pro Minute (Schwarzwei), Buchstabe / A4. Leistungsstarker 500-MHz-Prozessor, 512 MB Speicher"
fr,74867AD200E41EDBA5D8B06B26EB4052,"Notebook Basic 15 con 2,80 GHz de cuatro ncleos, pantalla LCD de 15 "", 4 GB de RAM DDR3, disco duro de 500 GB, Windows 8 Pro"
fr,74867AD200E41EDBA5D8B06B26EB6052,"Notebook Basic 17 con 2,80 GHz de cuatro ncleos, pantalla LCD de 17 "", 4 GB de RAM DDR3, disco duro de 500 GB, Windows 8 Pro"
fr,74867AD200E41EDBA5D8B06B26EB8052,"Notebook Basic 18 con 2,80 GHz de cuatro ncleos, pantalla LCD de 18 "", 8 GB de RAM DDR3, disco duro de 1000 GB, Windows 8 Pro"
fr,74867AD200E41EDBA5D8B06B26EBA052,"Notebook Basic 19 con 2,80 GHz de cuatro ncleos, pantalla LCD de 19 "", 8 GB de RAM DDR3, disco duro de 1000 GB, Windows 8 Pro"
fr,74867AD200E41EDBA5D8B06B26EBC052,Organizador digital con cifrado de almacenamiento de ltima generacin
fr,74867AD200E41EDBA5D8B06B26EBE052,"Notebook Professional 15 con 2,80 GHz de cuatro ncleos, LCD multitctil de 15 "", RAM DDR3 de 8 GB, SSD de 500 GB - Grabadora de DVD (DVD-R / + R / -RW / -RAM), Windows 8 Pro"
fr,74867AD200E41EDBA5D8B06B26EC0052,"Notebook Professional 17 con 2,80 GHz de cuatro ncleos, LCD multitctil de 17 "", RAM DDR3 de 8 GB, SSD de 500 GB - Grabadora de DVD (DVD-R / + R / -RW / -RAM), Windows 8 Pro"
fr,74867AD200E41EDBA5D8B06B26EC2052,Organizador digital con cifrado de ltima generacin para almacenamiento y comunicaciones de red
fr,74867AD200E41EDBA5D8B06B26EC4052,Organizador digital con cifrado de ltima generacin para almacenamiento y enlace Stellite seguro
fr,74867AD200E41EDBA5D8B06B26EC6052,Asistente digital de 32 GB con pantalla a color de alta resolucin
fr,74867AD200E41EDBA5D8B06B26EC8052,Asistente digital de 64 GB con pantalla a color de alta resolucin y salida de voz sintetizada
fr,74867AD200E41EDBA5D8B06B26ECA052,"Mx. De alta resolucin ptima. 1920 x 1080 a 85 Hz, tamao de punto: 0,27 mm"
fr,74867AD200E41EDBA5D8B06B26ECC052,"Mx. De alta resolucin ptima. 1920 x 1200 a 85 Hz, tamao de punto: 0,26 mm"
fr,74867AD200E41EDBA5D8B06B26ECE052,"Mx. De alta resolucin ptima. 2560 x 1440 a 85 Hz, tamao de punto: 0,25 mm"
fr,74867AD200E41EDBA5D8B06B26ED0052,"Mx. De alta resolucin ptima. 1600 x 1200 a 85 Hz, tamao de punto: 0,24 mm"
fr,74867AD200E41EDBA5D8B06B26ED2052,"Mx. De alta resolucin ptima. 2048 x 1080 a 85 Hz, tamao de punto: 0,26 mm"
fr,74867AD200E41EDBA5D8B06B26ED4052,"Mx. De alta resolucin ptima. 2016 x 1512 a 85 Hz, tamao de punto: 0,24 mm"
fr,74867AD200E41EDBA5D8B06B26ED6052,"Imprima documentos en color con calidad de imagen de 2400 ppp a velocidades de hasta 32 ppm (color) o 36 ppm (monocromo), carta / A4. Potente procesador de 500 MHz, 512 MB de memoria"
